Name,Likes/Views,Coins/Views,Favorites/Views,Shares/Views
张继科VS马龙 队内比赛（东京世乒赛热身赛-集美大学）,0.038143477362001244,0.006098821583626215,0.04052098408104197,0.0031010957204879058
班里的两种男文科生be like：,0.09163590149648801,0.0004207850769141101,0.010430067936887924,0.005204372184400531
艾爾登法環 無邪道速通DLC 最新世界紀錄 萬字解說剪輯版 By kevinfudavid,0.04023064064759687,0.026200627312510563,0.01157898690907725,0.0029487444358882856
“与君歌一曲，请君为我倾耳听”,0.11836563409978353,0.004851512003398105,0.01652994068668342,0.0006908798739016289
你说的vs北京人听到的,0.0698689802171974,0.0014752571795718656,0.00732176296567095,0.004321432690067334
新文科运动 | 现代化就是要集权，小政府为什么是陷阱？,0.07990819088075092,0.014312630605323558,0.020506320441231886,0.0020965366037477306
人类为什么是自然界中的传奇耐毒王？,0.057824115337330034,0.0010013496945741598,0.005357362700206114,0.0003194106957763467
姐真的是一种感觉，与年龄无关,0.04720218729970711,0.003825340548609815,0.006238996568146231,0.001622625895486666
"南京照相馆“我们不是朋友,是______”",0.12481390002795065,0.008584841622506546,0.019012144270972968,0.002184713848119606
又又又又又一艘！湖北舰，来了！,0.07661235900896558,0.005234744047045214,0.004468331244577268,0.008983900510941868
